candidato,votos,porcentaje,nivel,region,distrito,comuna
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,732,1.12,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8641,13.229999999999999,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
JOSE ANTONIO KAST RIST,13833,21.18,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
EDUARDO ANTONIO ARTES BRICHETTI,545,0.8300000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
EVELYN MATTHEI FORNET,13080,20.03,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
HAROLD MAYNE-NICHOLLS SECUL,932,1.43,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
FRANCO PARISI FERNANDEZ,11528,17.02,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
JEANNETTE JARA ROMAN,24166,35.68,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1081,1.6,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8739,12.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
JOSE ANTONIO KAST RIST,12849,18.97,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
EDUARDO ANTONIO ARTES BRICHETTI,548,0.81,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
EVELYN MATTHEI FORNET,7954,11.739999999999998,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
HAROLD MAYNE-NICHOLLS SECUL,874,1.29,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
FRANCO PARISI FERNANDEZ,10517,13.01,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
JEANNETTE JARA ROMAN,28384,35.11,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1122,1.3900000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,11159,13.8,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
JOSE ANTONIO KAST RIST,15869,19.630000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
EDUARDO ANTONIO ARTES BRICHETTI,759,0.9400000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
EVELYN MATTHEI FORNET,11962,14.8,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
HAROLD MAYNE-NICHOLLS SECUL,1071,1.32,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,QUINTA NORMAL
FRANCO PARISI FERNANDEZ,15655,14.67,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
JEANNETTE JARA ROMAN,37122,34.8,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1547,1.45,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,13810,12.950000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
JOSE ANTONIO KAST RIST,21551,20.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
EDUARDO ANTONIO ARTES BRICHETTI,962,0.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
EVELYN MATTHEI FORNET,14475,13.57,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
HAROLD MAYNE-NICHOLLS SECUL,1560,1.46,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RECOLETA
FRANCO PARISI FERNANDEZ,20245,20.87,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
JEANNETTE JARA ROMAN,33109,34.13,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1629,1.6800000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,11838,12.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
JOSE ANTONIO KAST RIST,18091,18.650000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
EDUARDO ANTONIO ARTES BRICHETTI,806,0.8300000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
EVELYN MATTHEI FORNET,10014,10.32,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
HAROLD MAYNE-NICHOLLS SECUL,1283,1.32,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 9,RENCA
FRANCO PARISI FERNANDEZ,15356,18.97,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
JEANNETTE JARA ROMAN,28612,35.349999999999994,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1343,1.6600000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,10216,12.62,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
JOSE ANTONIO KAST RIST,15365,18.979999999999997,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
EDUARDO ANTONIO ARTES BRICHETTI,594,0.73,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
EVELYN MATTHEI FORNET,8424,10.41,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
HAROLD MAYNE-NICHOLLS SECUL,1023,1.26,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
FRANCO PARISI FERNANDEZ,8587,10.04,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
JEANNETTE JARA ROMAN,30309,35.449999999999996,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1074,1.26,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,11197,13.09,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
JOSE ANTONIO KAST RIST,15956,18.66,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
EDUARDO ANTONIO ARTES BRICHETTI,733,0.8600000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
EVELYN MATTHEI FORNET,15943,18.64,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
HAROLD MAYNE-NICHOLLS SECUL,1710,2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,MACUL
FRANCO PARISI FERNANDEZ,6317,3.53,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
JEANNETTE JARA ROMAN,65386,36.55,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1372,0.77,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,20839,11.65,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
JOSE ANTONIO KAST RIST,30769,17.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
EDUARDO ANTONIO ARTES BRICHETTI,1595,0.89,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
EVELYN MATTHEI FORNET,48927,27.35,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
HAROLD MAYNE-NICHOLLS SECUL,3698,2.07,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,ÑUÑOA
FRANCO PARISI FERNANDEZ,2305,1.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
JEANNETTE JARA ROMAN,34048,28.110000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,746,0.62,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,14600,12.06,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
JOSE ANTONIO KAST RIST,22535,18.610000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
EDUARDO ANTONIO ARTES BRICHETTI,882,0.73,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
EVELYN MATTHEI FORNET,43965,36.3,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
HAROLD MAYNE-NICHOLLS SECUL,2025,1.6700000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,PROVIDENCIA
FRANCO PARISI FERNANDEZ,9454,14.16,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
JEANNETTE JARA ROMAN,26233,39.290000000000006,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,964,1.44,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8218,12.31,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
JOSE ANTONIO KAST RIST,11542,17.29,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
EDUARDO ANTONIO ARTES BRICHETTI,548,0.8200000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
EVELYN MATTHEI FORNET,8787,13.16,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
HAROLD MAYNE-NICHOLLS SECUL,1024,1.53,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SAN JOAQUIN
FRANCO PARISI FERNANDEZ,17645,7.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
JEANNETTE JARA ROMAN,80114,32.71,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2192,0.89,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,31362,12.8,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
JOSE ANTONIO KAST RIST,50769,20.73,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
EDUARDO ANTONIO ARTES BRICHETTI,2640,1.08,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
EVELYN MATTHEI FORNET,56605,23.110000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
HAROLD MAYNE-NICHOLLS SECUL,3595,1.47,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 10,SANTIAGO
FRANCO PARISI FERNANDEZ,3471,4.7,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
JEANNETTE JARA ROMAN,20354,27.56,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,569,0.77,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,9368,12.69,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
JOSE ANTONIO KAST RIST,16503,22.35,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
EDUARDO ANTONIO ARTES BRICHETTI,506,0.69,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
EVELYN MATTHEI FORNET,21697,29.38,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
HAROLD MAYNE-NICHOLLS SECUL,1378,1.87,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
FRANCO PARISI FERNANDEZ,4885,2.23,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
JEANNETTE JARA ROMAN,28626,13.07,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,891,0.41000000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,31229,14.26,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
JOSE ANTONIO KAST RIST,69261,31.630000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
EDUARDO ANTONIO ARTES BRICHETTI,945,0.43000000000000005,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
EVELYN MATTHEI FORNET,79998,36.54,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
HAROLD MAYNE-NICHOLLS SECUL,3104,1.42,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
FRANCO PARISI FERNANDEZ,3996,5.1899999999999995,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
JEANNETTE JARA ROMAN,7577,9.84,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,333,0.43000000000000005,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8823,11.46,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
JOSE ANTONIO KAST RIST,31581,41.03,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
EDUARDO ANTONIO ARTES BRICHETTI,246,0.32,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
EVELYN MATTHEI FORNET,23778,30.89,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
HAROLD MAYNE-NICHOLLS SECUL,630,0.8200000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
FRANCO PARISI FERNANDEZ,23955,14.84,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
JEANNETTE JARA ROMAN,53346,33.05,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2365,1.47,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,18758,11.62,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
JOSE ANTONIO KAST RIST,32823,20.330000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
EDUARDO ANTONIO ARTES BRICHETTI,1204,0.75,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
EVELYN MATTHEI FORNET,26240,16.259999999999998,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
HAROLD MAYNE-NICHOLLS SECUL,2731,1.6900000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,PEÑALOLEN
FRANCO PARISI FERNANDEZ,570,0.8200000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
JEANNETTE JARA ROMAN,5000,7.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,210,0.3,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8953,12.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
JOSE ANTONIO KAST RIST,24395,35.14,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
EDUARDO ANTONIO ARTES BRICHETTI,166,0.24000000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
EVELYN MATTHEI FORNET,29467,42.449999999999996,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
HAROLD MAYNE-NICHOLLS SECUL,658,0.9500000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
FRANCO PARISI FERNANDEZ,32068,12.03,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
JEANNETTE JARA ROMAN,93752,35.160000000000004,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,3351,1.26,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,34386,12.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
JOSE ANTONIO KAST RIST,54143,20.310000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
EDUARDO ANTONIO ARTES BRICHETTI,2327,0.8700000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
EVELYN MATTHEI FORNET,41762,15.66,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
HAROLD MAYNE-NICHOLLS SECUL,4836,1.81,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
FRANCO PARISI FERNANDEZ,30043,26.77,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
JEANNETTE JARA ROMAN,34757,30.97,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2059,1.83,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,12386,11.04,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
JOSE ANTONIO KAST RIST,22004,19.610000000000003,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
EDUARDO ANTONIO ARTES BRICHETTI,762,0.6799999999999999,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
EVELYN MATTHEI FORNET,9071,8.08,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
HAROLD MAYNE-NICHOLLS SECUL,1150,1.02,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
FRANCO PARISI FERNANDEZ,3074,13.79,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
JEANNETTE JARA ROMAN,6455,28.959999999999997,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,266,1.1900000000000002,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,3359,15.07,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
JOSE ANTONIO KAST RIST,5316,23.85,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
EDUARDO ANTONIO ARTES BRICHETTI,120,0.54,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
EVELYN MATTHEI FORNET,3352,15.04,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
HAROLD MAYNE-NICHOLLS SECUL,347,1.56,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PIRQUE
FRANCO PARISI FERNANDEZ,64358,17.57,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
JEANNETTE JARA ROMAN,130305,35.57,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,5316,1.45,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,45374,12.38,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
JOSE ANTONIO KAST RIST,69145,18.87,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
EDUARDO ANTONIO ARTES BRICHETTI,3139,0.8600000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
EVELYN MATTHEI FORNET,42880,11.7,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
HAROLD MAYNE-NICHOLLS SECUL,5855,1.6,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,PUENTE ALTO
FRANCO PARISI FERNANDEZ,2003,14.76,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
JEANNETTE JARA ROMAN,4914,36.2,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,204,1.5,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1829,13.48,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
JOSE ANTONIO KAST RIST,2572,18.95,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
EDUARDO ANTONIO ARTES BRICHETTI,101,0.74,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
EVELYN MATTHEI FORNET,1730,12.75,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
HAROLD MAYNE-NICHOLLS SECUL,220,1.62,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 12,SAN JOSE DE MAIPO
FRANCO PARISI FERNANDEZ,21888,19.54,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
JEANNETTE JARA ROMAN,36330,32.43,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2154,1.92,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,14622,13.05,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
JOSE ANTONIO KAST RIST,23177,20.69,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
EDUARDO ANTONIO ARTES BRICHETTI,858,0.77,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
EVELYN MATTHEI FORNET,11588,10.34,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
HAROLD MAYNE-NICHOLLS SECUL,1425,1.27,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,EL BOSQUE
FRANCO PARISI FERNANDEZ,7565,11.39,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
JEANNETTE JARA ROMAN,22011,33.15,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,772,1.1600000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,9822,14.79,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
JOSE ANTONIO KAST RIST,14082,21.21,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
EDUARDO ANTONIO ARTES BRICHETTI,565,0.8500000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
EVELYN MATTHEI FORNET,10504,15.82,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
HAROLD MAYNE-NICHOLLS SECUL,1086,1.6400000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
FRANCO PARISI FERNANDEZ,14601,21.58,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
JEANNETTE JARA ROMAN,25101,37.1,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1153,1.7,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,7524,11.12,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
JOSE ANTONIO KAST RIST,12079,17.86,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
EDUARDO ANTONIO ARTES BRICHETTI,565,0.8400000000000001,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
EVELYN MATTHEI FORNET,5877,8.69,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
HAROLD MAYNE-NICHOLLS SECUL,750,1.11,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
FRANCO PARISI FERNANDEZ,10901,15.05,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
JEANNETTE JARA ROMAN,30357,41.9,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1108,1.53,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,8512,11.75,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
JOSE ANTONIO KAST RIST,12143,16.759999999999998,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
EDUARDO ANTONIO ARTES BRICHETTI,719,0.99,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
EVELYN MATTHEI FORNET,7651,10.56,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
HAROLD MAYNE-NICHOLLS SECUL,1054,1.45,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,PEDRO AGUIRRE CERDA
FRANCO PARISI FERNANDEZ,6999,7.68,comuna,METROPOLITANA DE SANTIAGO,DISTRITO 13,SAN MIGUEL
